Title,Description,Start,End,Timezone,format,URL,Contact,Organiser,Eligibility,Host Institutions,Online,City,Country
Wearable tecnhology community event,"""""""<p>The Sydney Informatics Hub has encountered researchers working with activity tracking data such as wearable devices, from areas as diverse as life sciences, veterinary science, business, and various arenas of medicine and health.</p><p></p><p>We would like to support the University's researchers to build on synergies in their work. We hope to do this by coordinating symposia where they can present their research around collecting, analysing and modelling physical activity data, in a collegial environment. We would aim to meet up to four times a year, beginning in 2021. This forum will be open to presentations of work in progress or preparation, as well as concluded work. Through creating community we hope to foster interdisciplinary communication and collaboration opportunities, which will speed up the path to high quality and innovative science.</p><p>Location: Virtual attendence via Zoom along with an in person option  H04.02.273.Merewether Building.Merewether Lecture Room (3) 273, 2pm.</p>""",2022-06-07T14:00:00,2022-06-07T15:30:00,Australia/Sydney,hybrid,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
Research essentials - analysing your data,"""""""<p><strong>Research Essentials - Analysing your data</strong></p><p>This workshop presents methods and concepts that will help you create world-changing research worthy of top-tier journals.</p><p>We introduce the concept of a research workflow, a series of defined steps that will assist you in thinking about your data and preparing it for statistical analysis. We introduce you to the resources available from both Sydney Informatics Hub and across the University that will support you in proceeding from hypothesis generation all the way through to publication.</p><p>Data analysis concepts will be covered in detail, including: how experimental design fits into hypothesis generation and your final publication; how to manage your analysis data and Exploratory Data Analysis (EDA) – an essential and often-overlooked stage of data analysis for determining the appropriate statistical methods to apply in your research.</p><p>We will show you some of the more advanced statistical analysis methods to give you and idea of what is possible.</p><p>Note that this workshop does not require knowledge of or use of specific statistics software.  The analysis methods may be performed using a range of commonly available software through the university.</p><p><strong>Attendance options:</strong></p><p><strong>In person:</strong>  Choose the <strong><em>In person</em></strong> ticket option. University rules governing COVID related requirements will apply in the venue. In the event that in person delivery is not possible, you will be provided with the Zoom link for remote attendance.</p><p><strong>Online:</strong> Choose the <strong><em>Online Zoom</em></strong> ticket option. It is recommended to have a dual monitor setup to view and participate remotely in the session. Registered attendees will receive a link to the Zoom event closer to the date.</p><p><strong>Sydney Informatics Hub</strong></p><ul><li>Open to: Academic and Professional Staff, research students, and affiliates of The University of Sydney (with a valid UniKey)</li><li>Please use your University of Sydney email address to register i.e. @sydney.edu.au, @uni.sydney.edu.au, etc</li><li>If you do not have a UniKey, please contact us to confirm your position after registration.</li></ul><p><strong>Registrations from open web email clients (@gmail.com, @hotmail.com etc) will AUTOMATICALLY be cancelled, without us contacting you!</strong></p>""",2022-06-08T09:30:00,2022-06-08T11:00:00,Australia/Sydney,hybrid,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
Meta-Analysis: an introduction,"""""""<p><strong>Meta Analysis - An Introduction, run by the Sydney Informatics Hub. </strong></p><p>This workshop provides research students with a theoretical and practical introduction to meta-analysis as part of a systematic review. In this workshop we will be examining the process of performing a meta-analysis in particular focusing on key statistical concepts such as heterogeneity and Fixed and Random effects modelling. </p><p>The available choices of statistical software will be discussed and participants will be shown worked examples using the <strong>metafor</strong> package in R. A basic knowledge of R software is desirable, but not necessary since participants are not expected to produce and run their own code during the workshop. </p><p><strong>Attendance options:</strong></p><p><strong>In person:</strong> Choose the <strong><em>In person</em></strong> ticket option. University rules governing COVID related requirements will apply in the venue. In the event that in person delivery is not possible, you will be provided with the Zoom link for remote attendance.</p><p><strong>Online</strong>: Choose the <strong><em>Online Zoom</em></strong> ticket option. It is recommended to have a dual monitor setup to view and participate remotely in the session. Registered attendees will receive a link to the Zoom event closer to the date.</p><p>Sydney Informatics Hub </p><ul><li>This workshop is provided at no cost to researchers studying at, employed by or affiliated with the University of Sydney. This includes Honours and higher degree by research students, academic staff, and professional staff who do research.</li><li>Please use your University of Sydney email address to register i.e. @sydney.edu.au, @uni.sydney.edu.au, etc</li><li>If you do not have a UniKey, please contact us to confirm your position after registration.</li></ul><p>Registrations from open web email clients (@gmail.com, @hotmail.com etc) will AUTOMATICALLY be cancelled, without us contacting you!!!</p>""",2022-06-08T11:30:00,2022-06-08T13:00:00,Australia/Sydney,hybrid,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
Introduction to survival analysis,"""""""<p>Survival analysis is used when you want to measure the time elapsed up to when a specified event occurs. It is commonly used in studies where subjects are followed until death occurs, hence the name.</p><p>In this workshop we will introduce some key concepts pertaining to survival analysis including censoring of cases, the survival function, and the hazard ratio estimator. The Kaplan Meier survival curve will be explained through a worked example and the technique of Cox proportional hazards regression will be introduced using the same example dataset.</p><p>Participants will be provided with software code in SPSS and R to reproduce the analysis presented in the workshop.</p><p><strong>Attendance options:</strong></p><p><strong>In person: </strong>Choose the <em><strong>In person</strong></em> ticket option. University rules governing COVID related requirements will apply in the venue. In the event that in person delivery is not possible, you will be provided with the Zoom link for remote attendance.</p><p><strong>Online:</strong> Choose the <em><strong>Online Zoom</strong></em> ticket option. It is recommended to have a dual monitor setup to view and participate remotely in the session. Registered attendees will receive a link to the Zoom event closer to the date.</p><p>Sydney Informatics Hub</p><ul><li>Open to: Academic and Professional Staff, research students, and affiliates of The University of Sydney (with a valid UniKey)</li><li>Please use your University of Sydney email address to register i.e. @sydney.edu.au, @uni.sydney.edu.au, etc</li><li>If you do not have a UniKey, please contact us to confirm your position after registration.</li></ul><p><strong>Registrations from open web email clients (@gmail.com, @hotmail.com etc) will AUTOMATICALLY be cancelled, without us contacting you!</strong></p>""",2022-06-08T14:00:00,2022-06-08T15:30:00,Australia/Sydney,hybrid,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
Experimental design,"""""""<p>This presentation and workshop focuses on the key aspects of experimental design that researchers and students may need to apply in their research. Higher degree research students engaging in new research are especially invited to attend. During the workshop there will be the opportunity to discuss your own research question and associated experimental design.</p><p>The workshop will include the following topics:</p><ul><li>your research question</li><li>experimental validity</li><li>randomisation and bias</li><li>blinding and bias</li><li>blocking and confounding</li><li>fixed and random effects</li><li>replication, experimental units</li></ul><p>No pre-requisite knowledge of statistical methods is required.</p><p><strong>Attendance options:</strong></p><p><strong>In person: </strong> Choose the <em><strong>In person</strong></em> ticket option. University rules governing COVID related requirements will apply in the venue. In the event that in person delivery is not possible, you will be provided with the Zoom link for remote attendance.</p><p><strong>Online:</strong> Choose the <em><strong>Online Zoom</strong></em> ticket option. It is recommended to have a dual monitor setup to view and participate remotely in the session. Registered attendees will receive a link to the Zoom event closer to the date. </p><p>Sydney Informatics Hub </p><ul><li>Open to: Academic and Professional Staff, research students, and affiliates of The University of Sydney (with a valid UniKey)</li><li>Please use your University of Sydney email address to register i.e. @sydney.edu.au, @uni.sydney.edu.au, etc</li><li>If you do not have a UniKey, please contact us to confirm your position after registration.</li></ul><p><strong>Registrations from open web email clients (@gmail.com, @hotmail.com etc) will AUTOMATICALLY be cancelled, without us contacting you!</strong></p>""",2022-06-21T09:30:00,2022-06-21T11:00:00,Australia/Sydney,hybrid,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
"Linear Models 3 - advanced topics, tips and tricks","""""""<p><strong>Linear Models 3: Advanced topics,  tips and tricks</strong></p><p>Discusses topics such as:</p><ul><li>Reporting and Interpretation (estimated marginal means, confidence vs prediction intervals, applying and correcting for multiple comparisons, reporting variable *Importance*, plus other reporting and interpretation tricks)</li><li>Model Parametrisation using the Design Matrix (interpreting categorical predictor parameters, dummy coding, effects coding)</li><li>More on Mixed Models (introducing the random slope)</li></ul><p>This is the third of 3 workshops for researchers interested in statistical methods such as linear regression, ANOVA, ANCOVA, mixed models, logistic/binary and count (Poisson) regression. Each one builds on the preceding workshops and together they show how all these analyses can be performed using the same easy to understand Generalised Linear Mixed Model (GLMM) framework and workflow. As well as how they can be used to analyse experimental designs such as Control vs Treatment, Randomised Control Trials (RCT’s), Before After Control Impact (BACI) analysis, repeated measures plus many more. There is also a 4th complementary workshop called Statistical Model Building which we recommend for those experienced with Linear Models or who have done at least the first 2 of our workshops.</p><p>The material is organised around Statistical Workflows applicable in any software that give step by step instructions on how to do the analysis including assumption testing, model interpretation and presentation of results.</p><p><strong>Attendance options:</strong></p><ul><li><strong>In person</strong>:  Choose the <strong><em>In person</em></strong> ticket option. University rules governing COVID related requirements will apply in the venue. In the event that in person delivery is not possible, you will be provided with the Zoom link for remote attendance.</li><li><strong>Online</strong>: Choose the <em><strong>Online Zoom</strong></em> ticket option. It is recommended to have a dual monitor setup to view and participate remotely in the session. Registered attendees will receive a link to the Zoom event closer to the date.</li></ul><p>Sydney Informatics Hub </p><ul><li>This workshop is provided at no cost to researchers studying at, employed by or affiliated with the University of Sydney. This includes Honours and higher degree by research students, academic staff, and professional staff who do research.</li><li>Please use your University of Sydney email address to register i.e. @sydney.edu.au, @uni.sydney.edu.au, etc</li><li>If you do not have a UniKey, please contact us to confirm your position after registration.</li></ul><p><strong>Registrations from open web email clients (@gmail.com, @hotmail.com etc) will AUTOMATICALLY be cancelled, without us contacting you!!!</strong></p>""",2022-06-21T11:30:00,2022-06-21T13:00:00,Australia/Sydney,hybrid,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
Intro to REDCap,"""""""<p>Research Electronic Data Capture (REDCap) is a secure web-based database application maintained by the University of Sydney. It is ideal for collecting and managing participant data and administering online surveys, with features supporting longitudinal data collection, complex team workflows and exports to a range of statistical analysis programs.</p><p><strong>In ""Intro to REDCap"", we will cover:</strong></p><ul><li>How to build a simple data entry project</li><li>How to collect data</li><li>How to add users/collaborators</li><li>How to export data</li></ul><p>Please note we will <strong>not cover surveys</strong>, as these are covered separately in our ""Surveys in REDCap"" training session.</p><p><strong>Target audience: </strong>Students and staff at the University of Sydney who need to collect electronic data or responses from participants into a structured database.</p><p><strong>Open to: </strong>Academic and Professional Staff, research students, and affiliates of The University of Sydney (with a valid UniKey). If you do not have a UniKey, please contact us to confirm your position after registration. Please use your University of Sydney email address to register (e.g. first.last@sydney.edu.au, abcd1234@uni.sydney.edu.au)</p><p><strong>Accessing the webinar: </strong>Your confirmation<strong> email from Eventbrite</strong> will contain a button which will provide the details to access the Zoom webinar</p><p><strong>For more information: </strong>digital.research@sydney.edu.au</p><p>Sydney Informatics Hub offers a broad range of training to researchers at the University. Please see our <a href=""https://sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">training site </a>for more information.</p>""",2022-06-21T13:00:00,2022-06-21T15:00:00,Australia/Sydney,online,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
Multivariate statistical analysis 1 - dimension reduction,"""""""<p><strong>Multivariate Statistical Analysis  1: Dimension Reduction</strong></p><p>In multivariate statistics we simultaneously model and estimate variability in more than one variable often in order to examine the relationship between variables. This workshop examines the key aspects of moving from univariate to multivariate analysis, and the situations and scenarios where multivariate analysis is typically applied. The focus will be on practical application of concepts through examples.</p><p><strong>Topics covered will include:</strong></p><ul><li>Motivations for undertaking multivariate analysis</li><li>Statistical principles for multivariate analysis</li><li>Dimension reduction techniques including principal components analysis (PCA), factor analysis (FA),  correspondence analysis (CA) and non-metric multidimensional scaling (nMDS)</li></ul><p>This is just one workshop from a modular training programme made up of 1.5 hour workshops, each focusing on a single statistical method offered by Statistical Consulting within the Sydney Informatics Hub. Statistical Workflows giving practical step-by-step instructions applicable in any software are used and include experimental design, exploratory analysis, modelling, assumption testing, model interpretation and presentation of results.  Researchers are encouraged to design a custom programme tailored to their research needs. </p><p><strong>Pre-requisites</strong></p><p>Prior experience with statistical modelling is assumed, as the basics of regression modelling will not be covered. Please consider attending Linear Models 1 and/or Linear Models 2 workshops to come up to speed beforehand. Note that this workshop does not require knowledge of or use of specific statistics software.  The analysis methods may be performed using a wide range of commonly available software.</p><p><strong>Attendance options</strong></p><p>You will get the most out of this session by attending in person. This way allows you to interact with the presenters, ask questions directly, and catch up after the session.  Please only choose online if circumstances prevent you from attending campus.</p><p><strong>In person</strong>: Choose the<em><strong> In person</strong></em> ticket option. University rules governing COVID related requirements will apply in the venue. In the event that in person delivery is not possible, you will be provided with the Zoom link for remote attendance.</p><p><strong>Online</strong>: Choose the <em><strong>Online Zoom</strong></em> ticket option. It is recommended to have a dual monitor setup to view and participate remotely in the session. Registered attendees will receive a link to the Zoom event closer to the date.</p><p>Sydney Informatics Hub </p><ul><li>Open to: Academic and Professional Staff, research students, and affiliates of The University of Sydney (with a valid UniKey)</li><li>Please use your University of Sydney email address to register i.e. @sydney.edu.au, @uni.sydney.edu.au, etc</li><li>If you do not have a UniKey, please contact us to confirm your position after registration.</li></ul><p><strong>Registrations from open web email clients (@gmail.com, @hotmail.com etc) will AUTOMATICALLY be cancelled, without us contacting you!!!</strong></p>""",2022-06-21T14:00:00,2022-06-21T15:30:00,Australia/Sydney,hybrid,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
A gentle introduction to computer vision,"""""""<p>This is the registration page for SIH's data science short training webinar on an introduction to computer vision and transfer learning, run by the Sydney Informatics Hub. </p><p>***</p><p>Self driving cars. Face recognition. X-Ray, CT and MRI analysis. Digital pathology. These are just the tip of the iceberg of applications for a technology called computer vision.</p><p>We've had cameras and computers for a long time, but now we have the technology to make our computers understand the pictures and videos captured by our cameras. Researchers around the world are competing to develop better and better computer vision algorithms that can understand and make predictions about pictures. One of the most famous models is called YOLO: You Only Look Once. YOLO models have state of the art prediction speed, allowing computers to make extremely fast decisions about images they are seeing.</p><p>From a research perspective, the incredibly exciting thing about many of these models is that we can take algorithms developed by Facebook, Microsoft, Google and the R&D departments of other tech giants, and apply them to completely different datasets that are part of our research. This enables us to build powerful models and tools that we can use to better understand our world - and to publish exciting, high-impact papers. [We'll mention a few case studies of how we've done just this at SIH.]</p><p>In this workshop, we'll show you how you can take a YOLO model that has been trained to solve a problem on one dataset, and then fine tune the model to solve a similar problem but with a totally new dataset. You'll learn the basic concepts behind computer vision and transfer learning, and will be shown how to use industry leading open source tools in Python, including Pytorch and torchvision, and how to use them on cloud computing virtual environments so that you can get access to powerful CUDA enabled GPUs to accelerate machine learning.</p><p>***</p><p><strong>Attendance options:</strong></p><p><strong>Online:</strong> This is a Zoom webinar ONLY. It is recommended to have a dual monitor setup to view and participate remotely in the session. Registered attendees will receive a link to the Zoom event closer to the date. </p><p></p><p>Sydney Informatics Hub </p><p></p><p>This workshop is provided at no cost to researchers studying at, employed by or affiliated with the University of Sydney. This includes Honours and higher degree by research students, academic staff, and professional staff who do research.</p><p></p><ul><li>Please use your University of Sydney email address to register i.e. @sydney.edu.au, @uni.sydney.edu.au, etc</li><li>If you do not have a UniKey, please contact us to confirm your position after registration.</li><li>Registrations from open web email clients (@gmail.com, @hotmail.com etc) will AUTOMATICALLY be cancelled, without us contacting you!!!</li></ul>""",2022-06-23T15:30:00,2022-06-23T17:00:00,Australia/Sydney,online,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
Surveys in REDCap,"""""""<p>Research Electronic Data Capture (REDCap) is a secure web-based database application maintained by the University of Sydney. It is ideal for collecting and managing participant data and administering online surveys, with features supporting longitudinal data collection, complex team workflows and exports to a range of statistical analysis programs.</p><p><strong>In ""Surveys in REDCap"", we will cover:</strong></p><ul><li>How to turn a data collection instrument into a survey</li><li>How to distribute surveys</li><li>How to work with multiple surveys within a project (e.g. Survey Queue, Automated Survey Invitation features)</li></ul><p><strong>Essential pre-requisites: </strong>You must know how to build a basic data entry project in REDCap. Please attend our ""Intro to REDCap"" webinar to cover this.</p><p><strong>Target audience:</strong> Students and staff at the University of Sydney who need to collect electronic data or responses from participants into a structured database.</p><p><strong>Open to:</strong> Academic and Professional Staff, research students, and affiliates of The University of Sydney (with a valid UniKey). If you do not have a UniKey, please contact us to confirm your position after registration. Please use your University of Sydney email address to register (e.g. first.last@sydney.edu.au, abcd1234@uni.sydney.edu.au)</p><p><strong>Accessing the webinar:</strong> Your confirmation<strong> email from Eventbrite</strong> will contain a button which will provide the details to access the Zoom webinar</p><p><strong>For more information: </strong>digital.research@sydney.edu.au</p><p>Sydney Informatics Hub offers a broad range of training to researchers at the University. Please see our <a href=""https://sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">training site </a>for more information.</p>""",2022-06-28T13:00:00,2022-06-28T15:00:00,Australia/Sydney,online,https://www.sydney.edu.au/research/facilities/sydney-informatics-hub/workshops-and-training/training-calendar.html,sih.training@sydney.edu.au,Sydney Informatics Hub,host_institution,University of Sydney,TRUE,Sydney,Australia
